Unnamed: 0,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
149,1489,2,3,6,0,2,3,10,1656,1809,4,7,11,0,4,1,5,7,0,3
150,1181,6,2,6,0,2,3,10,1695,1705,4,7,11,0,4,1,5,7,0,0
151,1301,2,2,6,0,2,3,10,1574,1477,4,7,11,0,4,1,5,7,0,3
152,1613,2,2,6,0,2,3,10,1766,1798,4,7,11,0,4,1,5,7,0,2
153,1453,6,2,1,0,2,3,10,1617,1717,4,7,11,0,4,1,5,7,0,0
154,1325,2,3,1,0,2,3,10,1586,1721,4,7,11,0,4,1,2,7,0,2
155,1447,6,2,1,0,2,3,10,1688,1649,4,7,11,0,4,1,2,7,0,2
156,1155,2,2,1,0,2,3,10,1476,1570,4,7,11,0,4,1,2,7,0,2
157,1430,2,3,1,0,2,3,10,1559,1671,4,7,11,0,4,1,2,7,0,3
158,1614,2,2,1,0,2,3,10,1726,1785,4,7,11,0,4,1,5,7,0,3
159,1132,6,2,6,0,2,3,10,1578,1504,4,7,11,0,4,1,2,7,0,2
160,1591,2,3,6,0,2,3,10,1702,1827,4,7,11,0,4,1,2,7,0,3
161,1344,2,2,1,0,2,3,10,1665,1713,4,7,11,0,4,1,2,7,0,3
162,1126,2,3,1,0,2,3,10,1531,1557,4,7,11,0,4,1,2,7,0,0
163,1504,2,3,6,0,2,3,10,1674,1756,4,7,11,0,4,1,5,7,0,2
164,1547,6,3,1,0,2,3,10,1568,1637,4,7,11,0,4,1,5,7,0,2
165,1724,2,3,1,0,2,3,10,1789,1763,4,7,11,0,4,1,5,7,0,0
166,1676,2,3,1,0,2,3,10,1627,1726,4,7,11,0,4,1,2,7,0,0
167,1629,2,2,6,0,2,3,10,1756,1782,4,7,11,0,4,1,2,7,0,2
168,1369,6,2,6,0,2,3,10,1571,1744,4,7,11,0,4,1,5,7,0,3
169,1241,6,2,6,0,2,3,10,1524,1645,4,7,11,0,4,1,2,7,0,0
170,1632,2,2,6,0,2,3,10,1756,1756,4,7,11,0,4,1,2,7,0,0
171,1373,2,3,1,0,2,3,10,1669,1767,4,7,11,0,4,1,5,7,0,0
172,1311,6,3,1,0,2,3,10,1596,1621,4,7,11,0,4,1,2,7,0,3
173,1387,6,2,1,0,2,3,10,1529,1524,4,7,11,0,4,1,2,7,0,0
174,1319,6,3,1,0,2,3,10,1557,1640,4,7,11,0,4,1,5,7,0,3
175,1304,6,3,6,0,2,3,10,1556,1698,4,7,11,0,4,1,5,7,0,3
176,1425,6,2,1,0,2,3,10,1566,1614,4,7,11,0,4,1,5,7,0,0
177,1288,2,3,6,0,2,3,10,1793,1823,4,7,11,0,4,1,5,7,0,3
178,1242,2,3,1,0,2,3,10,1536,1697,4,7,11,0,4,1,2,7,0,3
179,1391,6,3,1,0,2,3,10,1669,1734,4,7,11,0,4,1,5,7,0,2
180,1394,2,2,1,0,2,3,10,1637,1671,4,7,11,0,4,1,2,7,0,3
181,1372,6,3,1,0,2,3,10,1629,1654,4,7,11,0,4,1,2,7,0,3
182,1594,2,2,6,0,2,3,10,1674,1730,4,7,11,0,4,1,2,7,0,2
183,1186,2,2,1,0,2,3,10,1584,1548,4,7,11,0,4,1,5,7,0,3
184,1432,6,3,1,0,2,3,10,1545,1653,4,7,11,0,4,1,2,7,0,3
185,1457,2,3,1,0,2,3,10,1571,1673,4,7,11,0,4,1,5,7,0,2
186,1345,6,3,6,0,2,3,10,1691,1717,4,7,11,0,4,1,2,7,0,2
187,1666,6,3,1,0,2,3,10,1530,1630,4,7,11,0,4,1,2,7,0,2
188,1323,2,2,6,0,2,3,10,1703,1694,4,7,11,0,4,1,2,7,0,0
189,1455,6,2,1,0,2,3,10,1693,1660,4,7,11,0,4,1,2,7,0,3
190,1305,6,3,1,0,2,3,10,1439,1464,4,7,11,0,4,1,5,7,0,0
191,1349,6,3,1,0,2,3,10,1647,1696,4,7,11,0,4,1,5,7,0,2
192,1417,2,2,1,0,2,3,10,1623,1712,4,7,11,0,4,1,2,7,0,2
193,1331,2,2,6,0,2,3,10,1671,1734,4,7,11,0,4,1,5,7,0,3
194,1625,6,3,1,0,2,3,10,1669,1676,4,7,11,0,4,1,2,7,0,2
195,1504,6,2,1,0,2,3,10,1665,1826,4,7,11,0,4,1,2,7,0,2
196,1432,6,3,1,0,2,3,10,1555,1598,4,7,11,0,4,1,5,7,0,0
197,1765,6,2,6,0,2,3,10,1729,1860,4,7,11,0,4,1,5,7,0,2
198,1532,6,3,6,0,2,3,10,1748,1830,4,7,11,0,4,1,2,7,0,3
199,1678,6,2,6,0,2,3,10,1653,1752,4,7,11,0,4,1,5,7,0,0
200,1612,2,3,6,0,2,3,10,1750,1779,4,7,11,0,4,1,2,7,0,3
201,1261,6,2,1,0,2,3,10,1699,1859,4,7,11,0,4,1,5,7,0,2
202,1502,6,2,6,0,2,3,10,1562,1595,4,7,11,0,4,1,2,7,0,3
203,1564,2,2,6,0,2,3,10,1648,1675,4,7,11,0,4,1,2,7,0,3
204,1511,6,2,1,0,2,3,10,1731,1765,4,7,11,0,4,1,5,7,0,3
205,1457,6,2,6,0,2,3,10,1512,1628,4,7,11,0,4,1,2,7,0,0
206,1368,6,3,1,0,2,3,10,1610,1602,4,7,11,0,4,1,2,7,0,0
207,1557,2,2,6,0,2,3,10,1703,1784,4,7,11,0,4,1,5,7,0,3
208,1337,6,3,6,0,2,3,10,1455,1520,4,7,11,0,4,1,5,7,0,0
209,1543,6,2,6,0,2,3,10,1664,1750,4,7,11,0,4,1,2,7,0,2
210,1455,2,2,6,0,2,3,10,1695,1767,4,7,11,0,4,1,5,7,0,2
211,1675,2,3,1,0,2,3,10,1707,1770,4,7,11,0,4,1,5,7,0,3
212,1629,6,3,6,0,2,3,10,1561,1554,4,7,11,0,4,1,5,7,0,3
213,1650,6,2,6,0,2,3,10,1619,1606,4,7,11,0,4,1,2,7,0,3
214,1738,2,3,1,0,2,3,10,1776,1786,4,7,11,0,4,1,2,7,0,2
215,1251,2,3,1,0,2,3,10,1486,1607,4,7,11,0,4,1,5,7,0,0
216,1513,6,3,6,0,2,3,10,1752,1805,4,7,11,0,4,1,2,7,0,3
217,1392,6,2,1,0,2,3,10,1685,1674,4,7,11,0,4,1,2,7,0,3
218,1435,6,2,1,0,2,3,10,1694,1713,4,7,11,0,4,1,2,7,0,3
219,1297,2,2,6,0,2,3,10,1668,1731,4,7,11,0,4,1,2,7,0,3
220,1299,2,2,1,0,2,3,10,1557,1601,4,7,11,0,4,1,5,7,0,2
221,1518,6,2,6,0,2,3,10,1686,1680,4,7,11,0,4,1,5,7,0,3
222,1471,6,2,6,0,2,3,10,1676,1682,4,7,11,0,4,1,2,7,0,0
223,1379,2,3,6,0,2,3,10,1553,1654,4,7,11,0,4,1,5,7,0,0
224,1282,6,2,1,0,2,3,10,1632,1730,4,7,11,0,4,1,5,7,0,3
225,1388,6,2,6,0,2,3,10,1609,1692,4,7,11,0,4,1,2,7,0,0
226,1808,6,2,6,0,2,3,10,1710,1829,4,7,11,0,4,1,5,7,0,2
227,1645,6,2,1,0,2,3,10,1715,1761,4,7,11,0,4,1,2,7,0,0
228,1418,2,3,6,0,2,3,10,1546,1540,4,7,11,0,4,1,5,7,0,3
229,1426,2,2,1,0,2,3,10,1745,1745,4,7,11,0,4,1,2,7,0,3
230,1439,6,2,1,0,2,3,10,1704,1765,4,7,11,0,4,1,2,7,0,2
231,1365,2,2,6,0,2,3,10,1533,1739,4,7,11,0,4,1,2,7,0,2
232,1124,2,2,1,0,2,3,10,1600,1658,4,7,11,0,4,1,5,7,0,0
233,1318,2,2,1,0,2,3,10,1586,1643,4,7,11,0,4,1,5,7,0,2
234,1484,2,2,1,0,2,3,10,1657,1584,4,7,11,0,4,1,2,7,0,3
235,1511,6,2,1,0,2,3,10,1705,1788,4,7,11,0,4,1,5,7,0,0
236,1709,6,3,6,0,2,3,10,1568,1696,4,7,11,0,4,1,2,7,0,2
237,1494,2,2,1,0,2,3,10,1575,1672,4,7,11,0,4,1,2,7,0,3
238,1319,2,3,1,0,2,3,10,1548,1706,4,7,11,0,4,1,5,7,0,2
239,1678,6,3,1,0,2,3,10,1662,1677,4,7,11,0,4,1,2,7,0,2
240,1735,2,3,6,0,2,3,10,1758,1801,4,7,11,0,4,1,2,7,0,3
241,1502,6,3,1,0,2,3,10,1623,1687,4,7,11,0,4,1,5,7,0,3
242,1412,2,2,6,0,2,3,10,1689,1796,4,7,11,0,4,1,2,7,0,2
243,1400,6,2,1,0,2,3,10,1645,1713,4,7,11,0,4,1,2,7,0,0
244,1533,2,3,1,0,2,3,10,1760,1760,4,7,11,0,4,1,5,7,0,3
245,1691,6,2,6,0,2,3,10,1795,1828,4,7,11,0,4,1,2,7,0,0
246,1446,2,2,6,0,2,3,10,1718,1554,4,7,11,0,4,1,5,7,0,3
247,1651,2,2,6,0,2,3,10,1598,1612,4,7,11,0,4,1,5,7,0,3
248,1328,2,3,6,0,2,3,10,1522,1644,4,7,11,0,4,1,5,7,0,3
249,1454,2,3,6,0,2,3,10,1601,1568,4,7,11,0,4,1,2,7,0,0
250,1456,6,2,6,0,2,3,10,1682,1680,4,7,11,0,4,1,2,7,0,0
251,1538,6,3,6,0,2,3,10,1734,1794,4,7,11,0,4,1,2,7,0,2
252,1616,6,2,6,0,2,3,10,1734,1748,4,7,11,0,4,1,5,7,0,0
253,1084,2,2,6,0,2,3,10,1544,1616,4,7,11,0,4,1,2,7,0,0
254,1350,2,3,6,0,2,3,10,1590,1537,4,7,11,0,4,1,2,7,0,2
255,1382,6,3,1,0,2,3,10,1617,1634,4,7,11,0,4,1,5,7,0,2
256,1691,2,3,6,0,2,3,10,1635,1777,4,7,11,0,4,1,2,7,0,2
257,1260,6,2,6,0,2,3,10,1669,1723,4,7,11,0,4,1,2,7,0,0
258,1400,2,3,1,0,2,3,10,1625,1691,4,7,11,0,4,1,5,7,0,2
259,1542,2,3,6,0,2,3,10,1655,1863,4,7,11,0,4,1,5,7,0,0
260,1483,2,2,6,0,2,3,10,1679,1734,4,7,11,0,4,1,2,7,0,3
261,1423,6,3,6,0,2,3,10,1504,1587,4,7,11,0,4,1,2,7,0,0
262,1394,2,2,1,0,2,3,10,1581,1555,4,7,11,0,4,1,5,7,0,2
263,1570,2,2,6,0,2,3,10,1675,1688,4,7,11,0,4,1,2,7,0,0
264,1501,2,3,1,0,2,3,10,1638,1785,4,7,11,0,4,1,5,7,0,2
265,1360,6,2,6,0,2,3,10,1567,1654,4,7,11,0,4,1,5,7,0,3
266,1457,2,3,6,0,2,3,10,1546,1607,4,7,11,0,4,1,2,7,0,2
267,1670,6,2,6,0,2,3,10,1732,1751,4,7,11,0,4,1,5,7,0,2
268,1456,2,3,6,0,2,3,10,1644,1686,4,7,11,0,4,1,5,7,0,0
269,1576,6,2,6,0,2,3,10,1736,1762,4,7,11,0,4,1,5,7,0,2
270,1449,2,3,1,0,2,3,10,1544,1632,4,7,11,0,4,1,2,7,0,2
271,1277,2,2,6,0,2,3,10,1654,1590,4,7,11,0,4,1,5,7,0,3
272,1321,6,3,6,0,2,3,10,1564,1645,4,7,11,0,4,1,2,7,0,2
273,1780,2,3,6,0,2,3,10,1796,1841,4,7,11,0,4,1,5,7,0,2
274,1123,2,2,6,0,2,3,10,1613,1609,4,7,11,0,4,1,2,7,0,0
275,1300,2,2,6,0,2,3,10,1470,1563,4,7,11,0,4,1,2,7,0,3
276,1397,6,3,1,0,2,3,10,1585,1604,4,7,11,0,4,1,2,7,0,3
277,1514,2,2,1,0,2,3,10,1687,1830,4,7,11,0,4,1,5,7,0,2
278,1013,6,3,6,0,2,3,10,1518,1500,4,7,11,0,4,1,2,7,0,3
279,1709,6,3,1,0,2,3,10,1800,1913,4,7,11,0,4,1,2,7,0,3
280,1514,6,3,6,0,2,3,10,1665,1636,4,7,11,0,4,1,5,7,0,3
281,1622,6,3,1,0,2,3,10,1601,1658,4,7,11,0,4,1,5,7,0,0
282,1520,2,3,6,0,2,3,10,1705,1780,4,7,11,0,4,1,5,7,0,0
283,1173,2,3,6,0,2,3,10,1540,1565,4,7,11,0,4,1,5,7,0,0
284,1525,2,2,1,0,2,3,10,1683,1745,4,7,11,0,4,1,2,7,0,0
285,1428,6,3,1,0,2,3,10,1577,1661,4,7,11,0,4,1,2,7,0,3
286,1197,2,3,1,0,2,3,10,1682,1718,4,7,11,0,4,1,5,7,0,2
287,1817,6,3,6,0,2,3,10,1743,1856,4,7,11,0,4,1,5,7,0,2
288,1635,2,3,6,0,2,3,10,1660,1750,4,7,11,0,4,1,2,7,0,0
289,1490,2,3,1,0,2,3,10,1609,1701,4,7,11,0,4,1,5,7,0,3
290,1389,2,3,6,0,2,3,10,1488,1546,4,7,11,0,4,1,5,7,0,3
291,1354,6,2,1,0,2,3,10,1430,1532,4,7,11,0,4,1,2,7,0,2
292,1600,2,2,6,0,2,3,10,1611,1637,4,7,11,0,4,1,5,7,0,0
293,1526,2,2,1,0,2,3,10,1670,1645,4,7,11,0,4,1,5,7,0,2
294,1527,6,3,6,0,2,3,10,1740,1740,4,7,11,0,4,1,2,7,0,0
295,1436,6,3,1,0,2,3,10,1732,1776,4,7,11,0,4,1,5,7,0,3
296,1605,6,2,1,0,2,3,10,1668,1743,4,7,11,0,4,1,2,7,0,0
297,1360,6,2,1,0,2,3,10,1670,1692,4,7,11,0,4,1,5,7,0,0
298,1278,2,2,1,0,2,3,10,1525,1586,4,7,11,0,4,1,5,7,0,2
299,1323,6,3,1,0,2,3,10,1696,1768,4,7,11,0,4,1,2,7,0,0
300,1496,2,3,1,0,2,3,10,1689,1725,4,7,11,0,4,1,5,7,0,3
301,1492,2,3,6,0,2,3,10,1583,1676,4,7,11,0,4,1,2,7,0,2
302,1684,6,2,1,0,2,3,10,1576,1794,4,7,11,0,4,1,5,7,0,0
303,1439,2,3,6,0,2,3,10,1562,1747,4,7,11,0,4,1,2,7,0,3
304,1350,2,2,6,0,2,3,10,1593,1641,4,7,11,0,4,1,2,7,0,3
